===============================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================
Cores                         ;names_CHAR18_Common_EU              ;names_CHAR18_Common_JP              ;names_CHAR18_Common_US              ;names_CHAR18_Manufacturer_EU        ;names_CHAR18_Manufacturer_JP        ;names_CHAR18_Manufacturer_US        ;names_CHAR28_Common_EU                                  ;names_CHAR28_Common_JP                                  ;names_CHAR28_Common_US                                  ;names_CHAR28_Manufacturer_EU                            ;names_CHAR28_Manufacturer_JP                            ;names_CHAR28_Manufacturer_US                            ;names_CHAR54_Manufacturer_EU                                                                                
Gameboy2P                     ;Game Boy/Color 2P                   ;Gameboy2P:18_Common_EU              ;Gameboy2P:18_Common_EU              ;Nint. GB / GBC 2P                   ;Gameboy2P:18_Manufacturer_EU        ;Gameboy2P:18_Manufacturer_EU        ;Game Boy/Color 2 Player                                 ;Gameboy2P:28_Common_EU                                  ;Gameboy2P:28_Common_EU                                  ;Nintendo Game Boy/Color 2P                              ;Gameboy2P:28_Manufacturer_EU                            ;Gameboy2P:28_Manufacturer_EU                            ;Nintendo Game Boy 2 Player          Game Boy Color                                                          
Gameboy2Pultrawide            ;Game Boy/Color 2PW                  ;Gameboy2Pultrawide:18_Common_EU     ;Gameboy2Pultrawide:18_Common_EU     ;Nint. GB / GBC 2PW                  ;Gameboy2Pultrawide:18_Manufacturer_EU;Gameboy2Pultrawide:18_Manufacturer_EU;Game Boy/Color 2 Player Wide                          ;Gameboy2Pultrawide:28_Common_EU                         ;Gameboy2Pultrawide:28_Common_EU                         ;Nintendo Game Boy/Color 2PW                             ;Gameboy2Pultrawide:28_Manufacturer_EU                   ;Gameboy2Pultrawide:28_Manufacturer_EU                   ;Nintendo Game Boy 2 Player W        Game Boy Color (Ultrawide)                                              
Game Gear                     ;Game Gear                           ;Game Gear:18_Common_EU              ;Game Gear:18_Common_EU              ;SEGA Game Gear                      ;Game Gear:18_Manufacturer_EU        ;Game Gear:18_Manufacturer_EU        ;Game Gear:18_Common_EU                                  ;Game Gear:18_Common_EU                                  ;Game Gear:18_Common_EU                                  ;Game Gear:18_Manufacturer_EU                            ;Game Gear:18_Manufacturer_EU                            ;Game Gear:18_Manufacturer_EU                            ;Game Gear:18_Manufacturer_EU
GBA                           ;Game Boy Advance                    ;GBA:18_Common_EU                    ;GBA:18_Common_EU                    ;Nint. GBA                           ;GBA:18_Manufacturer_EU              ;GBA:18_Manufacturer_EU              ;GBA:18_Common_EU                                        ;GBA:18_Common_EU                                        ;GBA:18_Common_EU                                        ;Nintendo Game Boy Advance                               ;GBA:28_Manufacturer_EU                                  ;GBA:28_Manufacturer_EU                                  ;GBA:28_Manufacturer_EU                                                                                      
GBA2P                         ;Game Boy Adv. 2P                    ;GBA2P:18_Common_EU                  ;GBA2P:18_Common_EU                  ;Nint. GBA 2 Player                  ;GBA2P:18_Manufacturer_EU            ;GBA2P:18_Manufacturer_EU            ;Game Boy Advance 2 Player                               ;GBA2P:28_Common_EU                                      ;GBA2P:28_Common_EU                                      ;Nintendo Game Boy Advance 2P                            ;GBA2P:28_Manufacturer_EU                                ;GBA2P:28_Manufacturer_EU                                ;Nintendo Game Boy Advance           2 Player                                                                
Genesis                       ;Mega Drive                          ;Genesis:18_Common_EU                ;Genesis                             ;SEGA Mega Drive                     ;Genesis:18_Manufacturer_EU          ;SEGA Genesis                        ;Genesis:18_Common_EU                                    ;Genesis:18_Common_EU                                    ;Genesis:18_Common_US                                    ;Genesis:18_Manufacturer_EU                              ;Genesis:18_Manufacturer_EU                              ;Genesis:18_Manufacturer_US                              ;Genesis:18_Manufacturer_EU                                                                                  
Genesis3D                     ;Mega Drive 3D                       ;Genesis3D:18_Common_EU              ;Genesis 3D                          ;SEGA Mega Drive 3D                  ;Genesis3D:18_Manufacturer_EU        ;SEGA Genesis 3D                     ;Genesis3D:18_Common_EU                                  ;Genesis3D:18_Common_EU                                  ;Genesis3D:18_Common_US                                  ;Genesis3D:18_Manufacturer_EU                            ;Genesis3D:18_Manufacturer_EU                            ;Genesis3D:18_Manufacturer_US                            ;Genesis3D:18_Manufacturer_EU                                                                                
GnW                           ;Game & Watch                        ;GnW:18_Common_EU                    ;GnW:18_Common_EU                    ;Nint. Game & Watch                  ;GnW:18_Manufacturer_EU              ;GnW:18_Manufacturer_EU              ;GnW:18_Common_EU                                        ;GnW:18_Common_EU                                        ;GnW:18_Common_EU                                        ;Nintendo Game & Watch                                   ;GnW:28_Manufacturer_EU                                  ;GnW:28_Manufacturer_EU                                  ;GnW:28_Manufacturer_EU                                                                                      
                              |                  |                 |                  |                 |                  |                 |                  |                 |                  |                 |                  |                 |                            |                           |                            |                           |                            |                           |                            |                           |                            |                           |                            |                           |                                                      |                                                     |
Intellivision                 ;Intellivision                       ;Intellivision:18_Common_EU          ;Intellivision:18_Common_EU          ;Mattel Intelliv.                    ;Intellivision:18_Manufacturer_EU    ;Intellivision:18_Manufacturer_EU    ;Intellivision:18_Common_EU                              ;Intellivision:18_Common_EU                              ;Intellivision:18_Common_EU                              ;Mattel Intellivision                                    ;Intellivision:28_Manufacturer_EU                        ;Intellivision:28_Manufacturer_EU                        ;Intellivision:28_Manufacturer_EU                                                                            
Intv                          ;Intellivision                       ;Intv:18_Common_EU                   ;Intv:18_Common_EU                   ;Mattel Intelliv.                    ;Intv:18_Manufacturer_EU             ;Intv:18_Manufacturer_EU             ;Intv:18_Common_EU                                       ;Intv:18_Common_EU                                       ;Intv:18_Common_EU                                       ;Mattel Intellivision                                    ;Intv:28_Manufacturer_EU                                 ;Intv:28_Manufacturer_EU                                 ;Intv:28_Manufacturer_EU                                                                                     
Jaguar                        ;Atari Jaguar                        ;Jaguar:18_Common_EU                 ;Jaguar:18_Common_EU                 ;Jaguar:18_Common_EU                 ;Jaguar:18_Common_EU                 ;Jaguar:18_Common_EU                 ;Jaguar:18_Common_EU                                     ;Jaguar:18_Common_EU                                     ;Jaguar:18_Common_EU                                     ;Jaguar:18_Common_EU                                     ;Jaguar:18_Common_EU                                     ;Jaguar:18_Common_EU                                     ;Jaguar:18_Common_EU                                                                                         
Konix                         ;Multisystem                         ;Konix:18_Common_EU                  ;Konix:18_Common_EU                  ;Konix Multisystem                   ;Konix:18_Manufacturer_EU            ;Konix:18_Manufacturer_EU            ;Konix:18_Common_EU                                      ;Konix:18_Common_EU                                      ;Konix:18_Common_EU                                      ;Konix:18_Manufacturer_EU                                ;Konix:18_Manufacturer_EU                                ;Konix:18_Manufacturer_EU                                ;Konix:18_Manufacturer_EU                                                                                    
MegaCD                        ;Mega-CD                             ;MegaCD:18_Common_EU                 ;SEGA CD                             ;SEGA Mega-CD                        ;MegaCD:18_Manufacturer_EU           ;MegaCD:18_Common_US                 ;MegaCD:18_Common_EU                                     ;MegaCD:18_Common_EU                                     ;MegaCD:18_Common_US                                     ;MegaCD:18_Manufacturer_EU                               ;MegaCD:18_Manufacturer_EU                               ;MegaCD:18_Common_US                                     ;MegaCD:18_Manufacturer_EU                                                                                   
Mega Duck                     ;Mega Duck                           ;Mega Duck:18_Common_EU              ;Mega Duck:18_Common_EU              ;Welb. Mega Duck                     ;Mega Duck:18_Manufacturer_EU        ;Mega Duck:18_Manufacturer_EU        ;Mega Duck:18_Common_EU                                  ;Mega Duck:18_Common_EU                                  ;Mega Duck:18_Common_EU                                  ;Welback Holdings Mega Duck                              ;Mega Duck:28_Manufacturer_EU                            ;Mega Duck:28_Manufacturer_EU                            ;Mega Duck:28_Manufacturer_EU
NeoGeo                        ;Neo Geo MVS/AES                     ;NeoGeo:18_Common_EU                 ;NeoGeo:18_Common_EU                 ;SNK Neo Geo                         ;NeoGeo:18_Manufacturer_EU           ;NeoGeo:18_Manufacturer_EU           ;NeoGeo:18_Common_EU                                     ;NeoGeo:18_Common_EU                                     ;NeoGeo:18_Common_EU                                     ;SNK Neo Geo MVS/AES                                     ;NeoGeo:28_Manufacturer_EU                               ;NeoGeo:28_Manufacturer_EU                               ;NeoGeo:28_Manufacturer_EU                                                                                   
NES                           ;NES                                 ;Famicom                             ;NES:18_Common_EU                    ;Nint. NES                           ;Nint. Famicom                       ;NES:18_Manufacturer_EU              ;NES:18_Common_EU                                        ;NES:18_Common_JP                                        ;NES:18_Common_EU                                        ;Nintendo NES                                            ;Nintendo Famicom                                        ;NES:28_Manufacturer_EU                                  ;Nintendo NES                 Famicom Disk System                                                            
NES3D                         ;NES 3D                              ;Famicom 3D                          ;NES3D:18_Common_EU                  ;Nint. NES 3D                        ;Nint. Famicom 3D                    ;NES3D:18_Manufacturer_EU            ;NES3D:18_Common_EU                                      ;NES3D:18_Common_JP                                      ;NES3D:18_Common_EU                                      ;Nintendo NES 3D                                         ;Nintendo Famicom 3D                                     ;NES3D:28_Manufacturer_EU                                ;Nintendo NES 3D              Famicom Disk System                                                            
Odyssey2                      ;Videopac G7000                      ;Magnavox Odyssey2                   ;Odyssey2:18_Common_JP               ;Philips Videopac                    ;Magn. Odyssey2                      ;Odyssey2:18_Manufacturer_JP         ;Odyssey2:18_Common_EU                                   ;Odyssey2:18_Common_JP                                   ;Odyssey2:18_Common_JP                                   ;Philips Videopac G7000                                  ;Odyssey2:18_Common_JP                                   ;Odyssey2:18_Common_JP                                   ;Odyssey2:28_Manufacturer_EU                                                                                 
PICO                          ;Kids Computer Pico                  ;PICO:18_Common_EU                   ;PICO:18_Common_EU                   ;SEGA Pico                           ;PICO:18_Manufacturer_EU             ;PICO:18_Manufacturer_EU             ;PICO:18_Common_EU                                       ;PICO:18_Common_EU                                       ;PICO:18_Common_EU                                       ;PICO:18_Manufacturer_EU                                 ;PICO:18_Manufacturer_EU                                 ;PICO:18_Manufacturer_EU                                 ;PICO:18_Manufacturer_EU                                                                                     
                              |                  |                 |                  |                 |                  |                 |                  |                 |                  |                 |                  |                 |                            |                           |                            |                           |                            |                           |                            |                           |                            |                           |                            |                           |                                                      |                                                     |
PokemonMini                   ;Pokemon mini                        ;PokemonMini:18_Common_EU            ;PokemonMini:18_Common_EU            ;Nint. Pokemon mini                  ;PokemonMini:18_Manufacturer_EU      ;PokemonMini:18_Manufacturer_EU      ;PokemonMini:18_Common_EU                                ;PokemonMini:18_Common_EU                                ;PokemonMini:18_Common_EU                                ;Nintendo Pokemon mini                                   ;PokemonMini:28_Manufacturer_EU                          ;PokemonMini:28_Manufacturer_EU                          ;PokemonMini:28_Manufacturer_EU                                                                              
PSX                           ;PlayStation                         ;PSX:18_Common_EU                    ;PSX:18_Common_EU                    ;Sony PlayStation                    ;PSX:18_Manufacturer_EU              ;PSX:18_Manufacturer_EU              ;PSX:18_Common_EU                                        ;PSX:18_Common_EU                                        ;PSX:18_Common_EU                                        ;PSX:18_Manufacturer_EU                                  ;PSX:18_Manufacturer_EU                                  ;PSX:18_Manufacturer_EU                                  ;PSX:18_Manufacturer_EU                                                                                      
S32X                          ;Mega Drive 32X                      ;Super 32X                           ;Genesis 32X                         ;SEGA Mega Drive 32X                 ;SEGA Super 32X                      ;SEGA Genesis 32X                    ;S32X:18_Common_EU                                       ;S32X:18_Common_JP                                       ;S32X:18_Common_US                                       ;S32X:18_Manufacturer_EU                                 ;S32X:18_Manufacturer_JP                                 ;S32X:18_Manufacturer_US                                 ;S32X:18_Manufacturer_EU                                                                                     
Saturn                        ;Saturn                              ;Saturn:18_Common_EU                 ;Saturn:18_Common_EU                 ;Sega Saturn                         ;Saturn:18_Manufacturer_EU           ;Saturn:18_Manufacturer_EU           ;Saturn:18_Common_EU                                     ;Saturn:18_Common_EU                                     ;Saturn:18_Common_EU                                     ;Saturn:18_Manufacturer_EU                               ;Saturn:18_Manufacturer_EU                               ;Saturn:18_Manufacturer_EU                               ;Saturn:18_Manufacturer_EU                                                                                   
SGB                           ;Super Game Boy                      ;SGB:18_Common_EU                    ;SGB:18_Common_EU                    ;Nint. Super GB                      ;SGB:18_Manufacturer_EU              ;SGB:18_Manufacturer_EU              ;SGB:18_Common_EU                                        ;SGB:18_Common_EU                                        ;SGB:18_Common_EU                                        ;Nintendo Super Game Boy                                 ;SGB:28_Manufacturer_EU                                  ;SGB:28_Manufacturer_EU                                  ;SGB:28_Manufacturer_EU                                                                                      
SMS                           ;Master System                       ;Mark III                            ;SMS:18_Common_EU                    ;SEGA Master System                  ;SEGA Mark III                       ;SMS:18_Manufacturer_EU              ;SMS:18_Common_EU                                        ;SMS:18_Common_JP                                        ;SMS:18_Common_EU                                        ;SEGA Master System                                      ;SEGA Mark III                                           ;SMS:28_Manufacturer_EU                                  ;SEGA Master System
SMS3D                         ;Master System 3D                    ;SMS3D:18_Common_EU                  ;SMS3D:18_Common_EU                  ;SEGA Master Sys 3D                  ;SEGA Mark III 3D                    ;SMS3D:18_Manufacturer_EU            ;SMS3D:18_Common_EU                                      ;SMS3D:18_Common_EU                                      ;SMS3D:18_Common_EU                                      ;SEGA Master System 3D                                   ;SMS3D:18_Manufacturer_JP                                ;SMS3D:28_Manufacturer_EU                                ;SEGA Master System 3D
SNES                          ;Super NES                           ;Super Famicom                       ;SNES:18_Common_EU                   ;Nint. Super NES                     ;Nint Super Famicom                  ;SNES:18_Manufacturer_EU             ;SNES:18_Common_EU                                       ;SNES:18_Common_JP                                       ;SNES:18_Common_EU                                       ;Nintendo Super NES                                      ;Nintendo Super Famicom                                  ;SNES:28_Manufacturer_EU                                 ;SNES:28_Manufacturer_EU                                                                                     
SuperVision                   ;SuperVision                         ;SuperVision:18_Common_EU            ;SuperVision:18_Common_EU            ;Quic. SuperVision                   ;Wata. SuperVision                   ;SuperVision:18_Manufacturer_JP      ;SuperVision:18_Common_EU                                ;SuperVision:18_Common_EU                                ;SuperVision:18_Common_EU                                ;Watara/Quickshot SuperVision                            ;SuperVision:28_Manufacturer_EU                          ;SuperVision:28_Manufacturer_EU                          ;SuperVision:28_Manufacturer_EU                                                                              
TurboGrafx16                  ;PC Engine Duo                       ;TurboGrafx16:18_Common_EU           ;Turbo Duo                           ;NEC PC Engine/CD                    ;TurboGrafx16:18_Manufacturer_EU     ;NEC TurboGrafx-16                   ;TurboGrafx16:18_Common_EU                               ;TurboGrafx16:18_Common_EU                               ;TurboGrafx16:18_Common_US                               ;NEC PC Engine Duo                                       ;TurboGrafx16:28_Manufacturer_EU                         ;NEC Turbo Duo                                           ;NEC PC Engine Duo              SuperGrafx                                                                   
                              |                  |                 |                  |                 |                  |                 |                  |                 |                  |                 |                  |                 |                            |                           |                            |                           |                            |                           |                            |                           |                            |                           |                            |                           |                                                      |                                                     |
VC4000                        ;VC 4000                             ;VC4000:18_Common_EU                 ;VC4000:18_Common_EU                 ;Interton VC 4000                    ;VC4000:18_Manufacturer_EU           ;VC4000:18_Manufacturer_EU           ;Video Computer 4000                                     ;VC4000:28_Common_EU                                     ;VC4000:28_Common_EU                                     ;Interton Video Computer 4000                            ;VC4000:28_Manufacturer_EU                               ;VC4000:28_Manufacturer_EU                               ;VC4000:28_Manufacturer_EU                                                                                   
Vectrex                       ;Vectrex                             ;Vectrex:18_Common_EU                ;Vectrex:18_Common_EU                ;GCE Vectrex                         ;Vectrex:18_Manufacturer_EU          ;Vectrex:18_Manufacturer_EU          ;Vectrex:18_Common_EU                                    ;Vectrex:18_Common_EU                                    ;Vectrex:18_Common_EU                                    ;Vectrex:18_Manufacturer_EU                              ;Vectrex:18_Manufacturer_EU                              ;Vectrex:18_Manufacturer_EU                              ;Vectrex:18_Manufacturer_EU                                                                                  
WonderSwan                    ;WonderSwan                          ;WonderSwan:18_Common_EU             ;WonderSwan:18_Common_EU             ;Bandai WonderSwan                   ;WonderSwan:18_Manufacturer_EU       ;WonderSwan:18_Manufacturer_EU       ;WonderSwan:18_Common_EU                                 ;WonderSwan:18_Common_EU                                 ;WonderSwan:18_Common_EU                                 ;Bandai WonderSwan                                       ;WonderSwan:28_Manufacturer_EU                           ;WonderSwan:28_Manufacturer_EU                           ;WonderSwan:28_Manufacturer_EU                                                                               
WonderSwan Color              ;WonderSwan Color                    ;WonderSwan Color:18_Common_EU       ;WonderSwan Color:18_Common_EU       ;Bandai WS Color                     ;WonderSwan Color:18_Manufacturer_EU ;WonderSwan Color:18_Manufacturer_EU ;WonderSwan Color:18_Common_EU                                 ;WonderSwan Color:18_Common_EU                                 ;WonderSwan Color:18_Common_EU               ;Bandai WonderSwan Color                                 ;WonderSwan Color:28_Manufacturer_EU                           ;WonderSwan Color:28_Manufacturer_EU                           ;WonderSwan Color:28_Manufacturer_EU                                                                               
EpochGalaxyII                 ;Galaxy II                           ;EpochGalaxyII:18_Common_EU          ;EpochGalaxyII:18_Common_EU          ;Epoch Galaxy II                     ;EpochGalaxyII:18_Manufacturer_EU    ;EpochGalaxyII:18_Manufacturer_EU    ;EpochGalaxyII:18_Common_EU                              ;EpochGalaxyII:18_Common_EU                              ;EpochGalaxyII:18_Common_EU                              ;EpochGalaxyII:18_Manufacturer_EU                        ;EpochGalaxyII:18_Manufacturer_EU                        ;EpochGalaxyII:18_Manufacturer_EU                        ;EpochGalaxyII:18_Manufacturer_EU                                                                            
TomyScramble                  ;Tomy Scramble                       ;TomyScramble:18_Common_EU           ;TomyScramble:18_Common_EU           ;TomyScramble:18_Common_EU           ;TomyScramble:18_Common_EU           ;TomyScramble:18_Common_EU           ;TomyScramble:18_Common_EU                               ;TomyScramble:18_Common_EU                               ;TomyScramble:18_Common_EU                               ;Tomytronic Scramble                                     ;TomyScramble:28_Manufacturer_EU                         ;TomyScramble:28_Manufacturer_EU                         ;TomyScramble:28_Manufacturer_EU                                                                             
Arduboy                       ;Arduboy                             ;Arduboy:18_Common_EU                ;Arduboy:18_Common_EU                ;Arduboy:18_Common_EU                ;Arduboy:18_Common_EU                ;Arduboy:18_Common_EU                ;Arduboy:18_Common_EU                                    ;Arduboy:18_Common_EU                                    ;Arduboy:18_Common_EU                                    ;Arduboy:18_Common_EU                                    ;Arduboy:18_Common_EU                                    ;Arduboy:18_Common_EU                                    ;Arduboy:18_Common_EU                                                                                        
Chess                         ;Chess                               ;Chess:18_Common_EU                  ;Chess:18_Common_EU                  ;Chess:18_Common_EU                  ;Chess:18_Common_EU                  ;Chess:18_Common_EU                  ;Chess:18_Common_EU                                      ;Chess:18_Common_EU                                      ;Chess:18_Common_EU                                      ;Chess:18_Common_EU                                      ;Chess:18_Common_EU                                      ;Chess:18_Common_EU                                      ;Chess:18_Common_EU                                                                                          
Chip8                         ;CHIP-8                              ;Chip8:18_Common_EU                  ;Chip8:18_Common_EU                  ;Chip8:18_Common_EU                  ;Chip8:18_Common_EU                  ;Chip8:18_Common_EU                  ;Chip8:18_Common_EU                                      ;Chip8:18_Common_EU                                      ;Chip8:18_Common_EU                                      ;Chip8:18_Common_EU                                      ;Chip8:18_Common_EU                                      ;Chip8:18_Common_EU                                      ;Chip8:18_Common_EU                                                                                          
FlappyBird                    ;Flappy Bird                         ;FlappyBird:18_Common_EU             ;FlappyBird:18_Common_EU             ;FlappyBird:18_Common_EU             ;FlappyBird:18_Common_EU             ;FlappyBird:18_Common_EU             ;FlappyBird:18_Common_EU                                 ;FlappyBird:18_Common_EU                                 ;FlappyBird:18_Common_EU                                 ;FlappyBird:18_Common_EU                                 ;FlappyBird:18_Common_EU                                 ;FlappyBird:18_Common_EU                                 ;FlappyBird:18_Common_EU                                                                                     
GameOfLife                    ;Game of Life                        ;GameOfLife:18_Common_EU             ;GameOfLife:18_Common_EU             ;GameOfLife:18_Common_EU             ;GameOfLife:18_Common_EU             ;GameOfLife:18_Common_EU             ;GameOfLife:18_Common_EU                                 ;GameOfLife:18_Common_EU                                 ;GameOfLife:18_Common_EU                                 ;Conway's Game of Life                                   ;GameOfLife:28_Manufacturer_EU                           ;GameOfLife:28_Manufacturer_EU                           ;GameOfLife:28_Manufacturer_EU                                                                               

===============================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================
Cores                         ;names_CHAR18_Common_EU              ;names_CHAR18_Common_JP              ;names_CHAR18_Common_US              ;names_CHAR18_Manufacturer_EU        ;names_CHAR18_Manufacturer_JP        ;names_CHAR18_Manufacturer_US        ;names_CHAR28_Common_EU                                  ;names_CHAR28_Common_JP                                  ;names_CHAR28_Common_US                                  ;names_CHAR28_Manufacturer_EU                            ;names_CHAR28_Manufacturer_JP                            ;names_CHAR28_Manufacturer_US                            ;names_CHAR54_Manufacturer_EU                                                                                
===============================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================
                              |                  |                 |                  |                 |                  |                 |                  |                 |                  |                 |                  |                 |                            |                           |                            |                           |                            |                           |                            |                           |                            |                           |                            |                           |                                                      |                                                     |
Hack                          ;Nand2Tetris Hack                    ;Hack:18_Common_EU                   ;Hack:18_Common_EU                   ;Hack:18_Common_EU                   ;Hack:18_Common_EU                   ;Hack:18_Common_EU                   ;Hack:18_Common_EU                                       ;Hack:18_Common_EU                                       ;Hack:18_Common_EU                                       ;Nand2Tetris Hack Computer                               ;Hack:28_Manufacturer_EU                                 ;Hack:28_Manufacturer_EU                                 ;Hack:28_Manufacturer_EU                                                                                     
mandelbrot                    ;Mandelbrot Zoom                     ;mandelbrot:18_Common_EU             ;mandelbrot:18_Common_EU             ;mandelbrot:18_Common_EU             ;mandelbrot:18_Common_EU             ;mandelbrot:18_Common_EU             ;Mandelbrot Fractal Generator                            ;mandelbrot:28_Common_EU                                 ;mandelbrot:28_Common_EU                                 ;mandelbrot:28_Common_EU                                 ;mandelbrot:28_Common_EU                                 ;mandelbrot:28_Common_EU                                 ;mandelbrot:28_Common_EU                                                                                     
240pSuite                     ;240p Test Suite                     ;240pSuite:18_Common_EU              ;240pSuite:18_Common_EU              ;240pSuite:18_Common_EU              ;240pSuite:18_Common_EU              ;240pSuite:18_Common_EU              ;240pSuite:18_Common_EU                                  ;240pSuite:18_Common_EU                                  ;240pSuite:18_Common_EU                                  ;240pSuite:18_Common_EU                                  ;240pSuite:18_Common_EU                                  ;240pSuite:18_Common_EU                                  ;240pSuite:18_Common_EU                                                                                      
SlugCross                     ;Slug Cross                          ;SlugCross:18_Common_EU              ;SlugCross:18_Common_EU              ;SlugCross:18_Common_EU              ;SlugCross:18_Common_EU              ;SlugCross:18_Common_EU              ;SlugCross:18_Common_EU                                  ;SlugCross:18_Common_EU                                  ;SlugCross:18_Common_EU                                  ;SlugCross:18_Common_EU                                  ;SlugCross:18_Common_EU                                  ;SlugCross:18_Common_EU                                  ;SlugCross:18_Common_EU                                                                                      
SuperJacob                    ;Super Jacob                         ;SuperJacob:18_Common_EU             ;SuperJacob:18_Common_EU             ;SuperJacob:18_Common_EU             ;SuperJacob:18_Common_EU             ;SuperJacob:18_Common_EU             ;SuperJacob:18_Common_EU                                 ;SuperJacob:18_Common_EU                                 ;SuperJacob:18_Common_EU                                 ;Super Jacob Homebrew Core                               ;SuperJacob:28_Manufacturer_EU                           ;SuperJacob:28_Manufacturer_EU                           ;SuperJacob:28_Manufacturer_EU                                                                               
ADCTest                       ;ADC Input Test                      ;ADCTest:18_Common_EU                ;ADCTest:18_Common_EU                ;ADCTest:18_Common_EU                ;ADCTest:18_Common_EU                ;ADCTest:18_Common_EU                ;ADC Input and Signal Test                               ;ADCTest:28_Common_EU                                    ;ADCTest:28_Common_EU                                    ;ADCTest:28_Common_EU                                    ;ADCTest:28_Common_EU                                    ;ADCTest:28_Common_EU                                    ;ADCTest:28_Common_EU                                                                                        
InputTest                     ;Gamepad Input Test                  ;InputTest:18_Common_EU              ;InputTest:18_Common_EU              ;InputTest:18_Common_EU              ;InputTest:18_Common_EU              ;InputTest:18_Common_EU              ;Controller Input Tester                                 ;InputTest:28_Common_EU                                  ;InputTest:28_Common_EU                                  ;InputTest:28_Common_EU                                  ;InputTest:28_Common_EU                                  ;InputTest:28_Common_EU                                  ;InputTest:28_Common_EU                                                                                      
jtsdram48                     ;SDRAM Test 48 MHz                   ;jtsdram48:18_Common_EU              ;jtsdram48:18_Common_EU              ;jtsdram48:18_Common_EU              ;jtsdram48:18_Common_EU              ;jtsdram48:18_Common_EU              ;jtsdram48:18_Common_EU                                  ;jtsdram48:18_Common_EU                                  ;jtsdram48:18_Common_EU                                  ;Jotego SDRAM Test 48 MHz                                ;jtsdram48:28_Manufacturer_EU                            ;jtsdram48:28_Manufacturer_EU                            ;jtsdram48:28_Manufacturer_EU                                                                                
jtsdram96                     ;SDRAM Test 96 MHz                   ;jtsdram96:18_Common_EU              ;jtsdram96:18_Common_EU              ;jtsdram96:18_Common_EU              ;jtsdram96:18_Common_EU              ;jtsdram96:18_Common_EU              ;jtsdram96:18_Common_EU                                  ;jtsdram96:18_Common_EU                                  ;jtsdram96:18_Common_EU                                  ;Jotego SDRAM Test 96 MHz                                ;jtsdram96:28_Manufacturer_EU                            ;jtsdram96:28_Manufacturer_EU                            ;jtsdram96:28_Manufacturer_EU                                                                                
memtest                       ;SDRAM Test                          ;memtest:18_Common_EU                ;memtest:18_Common_EU                ;memtest:18_Common_EU                ;memtest:18_Common_EU                ;memtest:18_Common_EU                ;memtest:18_Common_EU                                    ;memtest:18_Common_EU                                    ;memtest:18_Common_EU                                    ;memtest:18_Common_EU                                    ;memtest:18_Common_EU                                    ;memtest:18_Common_EU                                    ;memtest:18_Common_EU                                                                                        
                              |                  |                 |                  |                 |                  |                 |                  |                 |                  |                 |                  |                 |                            |                           |                            |                           |                            |                           |                            |                           |                            |                           |                            |                           |                                                      |                                                     |
Gameboy_LLAPI                 ;GB/GBC #LLAPI                       ;Gameboy_LLAPI:18_Common_EU          ;Gameboy_LLAPI:18_Common_EU          ;Nint. GB/C #LLAPI                   ;Gameboy_LLAPI:18_Manufacturer_EU    ;Gameboy_LLAPI:18_Manufacturer_EU    ;Game Boy/Color #LLAPI                                   ;Gameboy_LLAPI:28_Common_EU                              ;Gameboy_LLAPI:28_Common_EU                              ;Nintendo GB/GBC (LLAPI)                                 ;Gameboy_LLAPI:28_Manufacturer_EU                        ;Gameboy_LLAPI:28_Manufacturer_EU                        ;Gameboy_LLAPI:28_Manufacturer_EU                                                                            
GBA_LLAPI                     ;GBA #LLAPI                          ;GBA_LLAPI:18_Common_EU              ;GBA_LLAPI:18_Common_EU              ;Nint. GBA #LLAPI                    ;GBA_LLAPI:18_Manufacturer_EU        ;GBA_LLAPI:18_Manufacturer_EU        ;Game Boy Advance #LLAPI                                 ;GBA_LLAPI:28_Common_EU                                  ;GBA_LLAPI:28_Common_EU                                  ;Nintendo GBA (LLAPI)                                    ;GBA_LLAPI:28_Manufacturer_EU                            ;GBA_LLAPI:28_Manufacturer_EU                            ;GBA_LLAPI:28_Manufacturer_EU                                                                                
Genesis_LLAPI                 ;Mega Drive #LLAPI                   ;Genesis_LLAPI:18_Common_EU          ;Genesis #LLAPI                      ;SEGA MD #LLAPI                      ;Genesis_LLAPI:18_Manufacturer_EU    ;SEGA Gen #LLAPI                     ;Genesis_LLAPI:18_Common_EU                              ;Genesis_LLAPI:18_Common_EU                              ;Genesis_LLAPI:18_Common_EU                              ;SEGA Mega Drive (LLAPI)                                 ;Genesis_LLAPI:28_Manufacturer_EU                        ;SEGA Genesis (LLAPI)                                    ;Genesis_LLAPI:28_Manufacturer_EU                                                                            
MegaCD_LLAPI                  ;Mega-CD #LLAPI                      ;MegaCD_LLAPI:18_Common_EU           ;SEGA CD #LLAPI                      ;SEGA MegaCD #LLAPI                  ;MegaCD_LLAPI:18_Manufacturer_EU     ;MegaCD_LLAPI:18_Common_US           ;MegaCD_LLAPI:18_Common_EU                               ;MegaCD_LLAPI:18_Common_EU                               ;MegaCD_LLAPI:18_Common_EU                               ;SEGA Mega-CD (LLAPI)                                    ;MegaCD_LLAPI:28_Manufacturer_EU                         ;SEGA CD (LLAPI)                                         ;MegaCD_LLAPI:28_Manufacturer_EU                                                                             
