===============================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================
Cores                         ;names_CHAR18_Common_EU              ;names_CHAR18_Common_JP              ;names_CHAR18_Common_US              ;names_CHAR18_Manufacturer_EU        ;names_CHAR18_Manufacturer_JP        ;names_CHAR18_Manufacturer_US        ;names_CHAR28_Common_EU                                  ;names_CHAR28_Common_JP                                  ;names_CHAR28_Common_US                                  ;names_CHAR28_Manufacturer_EU                            ;names_CHAR28_Manufacturer_JP                            ;names_CHAR28_Manufacturer_US                            ;names_CHAR54_Manufacturer_EU                                                                                
Atari800                      ;Atari 800XL/...                     ;Atari800:18_Common_EU               ;Atari800:18_Common_EU               ;Atari800:18_Common_EU               ;Atari800:18_Common_EU               ;Atari800:18_Common_EU               ;Atari800:18_Common_EU                                   ;Atari800:18_Common_EU                                   ;Atari800:18_Common_EU                                   ;Atari 800XL/65XE/130XE                                  ;Atari800:28_Manufacturer_EU                             ;Atari800:28_Manufacturer_EU                             ;Atari800:28_Manufacturer_EU                                                                                 
AtariST                       ;Atari ST/STE                        ;AtariST:18_Common_EU                ;AtariST:18_Common_EU                ;AtariST:18_Common_EU                ;AtariST:18_Common_EU                ;AtariST:18_Common_EU                ;AtariST:18_Common_EU                                    ;AtariST:18_Common_EU                                    ;AtariST:18_Common_EU                                    ;AtariST:18_Common_EU                                    ;AtariST:18_Common_EU                                    ;AtariST:18_Common_EU                                    ;AtariST:18_Common_EU                                                                                        
AcornAtom                     ;Atom                                ;AcornAtom:18_Common_EU              ;AcornAtom:18_Common_EU              ;Acorn Atom                          ;AcornAtom:18_Manufacturer_EU        ;AcornAtom:18_Manufacturer_EU        ;AcornAtom:18_Common_EU                                  ;AcornAtom:18_Common_EU                                  ;AcornAtom:18_Common_EU                                  ;AcornAtom:18_Manufacturer_EU                            ;AcornAtom:18_Manufacturer_EU                            ;AcornAtom:18_Manufacturer_EU                            ;AcornAtom:18_Manufacturer_EU                                                                                
AcornElectron                 ;Electron                            ;AcornElectron:18_Common_EU          ;AcornElectron:18_Common_EU          ;Acorn Electron                      ;AcornElectron:18_Manufacturer_EU    ;AcornElectron:18_Manufacturer_EU    ;AcornElectron:18_Common_EU                              ;AcornElectron:18_Common_EU                              ;AcornElectron:18_Common_EU                              ;AcornElectron:18_Manufacturer_EU                        ;AcornElectron:18_Manufacturer_EU                        ;AcornElectron:18_Manufacturer_EU                        ;AcornElectron:18_Manufacturer_EU                                                                            
BBCMicro                      ;BBC Micro/Master                    ;BBCMicro:18_Common_EU               ;BBCMicro:18_Common_EU               ;BBCMicro:18_Common_EU               ;BBCMicro:18_Common_EU               ;BBCMicro:18_Common_EU               ;BBC Micro B/Master 128                                  ;BBCMicro:28_Common_EU                                   ;BBCMicro:28_Common_EU                                   ;BBCMicro:28_Common_EU                                   ;BBCMicro:28_Common_EU                                   ;BBCMicro:28_Common_EU                                   ;BBCMicro:28_Common_EU                                                                                       
BK0011M                       ;BK0011M                             ;BK0011M:18_Common_EU                ;BK0011M:18_Common_EU                ;Elec. BK-0011M                      ;BK0011M:18_Manufacturer_EU          ;BK0011M:18_Manufacturer_EU          ;BK0011M:18_Common_EU                                    ;BK0011M:18_Common_EU                                    ;BK0011M:18_Common_EU                                    ;Electronika BK-0011M                                    ;BK0011M:28_Manufacturer_EU                              ;BK0011M:28_Manufacturer_EU                              ;BK0011M:28_Manufacturer_EU                                                                                  
C16                           ;Commodore 16                        ;C16:18_Common_EU                    ;C16:18_Common_EU                    ;Comm. 16 & Plus/4                   ;C16:18_Manufacturer_EU              ;C16:18_Manufacturer_EU              ;Commodore 16 & Plus/4                                   ;C16:28_Common_EU                                        ;C16:28_Common_EU                                        ;C16:28_Common_EU                                        ;C16:28_Common_EU                                        ;C16:28_Common_EU                                        ;C16:28_Common_EU                                                                                            
C64                           ;Commodore 64                        ;C64:18_Common_EU                    ;C64:18_Common_EU                    ;Comm. 64                            ;C64:18_Manufacturer_EU              ;C64:18_Manufacturer_EU              ;C64:18_Common_EU                                        ;C64:18_Common_EU                                        ;C64:18_Common_EU                                        ;C64:18_Common_EU                                        ;C64:18_Common_EU                                        ;C64:18_Common_EU                                        ;C64:18_Common_EU                                                                                            
Casio_PV-2000                 ;PV-2000                             ;Casio_PV-2000:18_Common_EU          ;Casio_PV-2000:18_Common_EU          ;Casio PV-2000                       ;Casio_PV-2000:18_Manufacturer_EU    ;Casio_PV-2000:18_Manufacturer_EU    ;Casio_PV-2000:18_Common_EU                              ;Casio_PV-2000:18_Common_EU                              ;Casio_PV-2000:18_Common_EU                              ;Casio_PV-2000:18_Manufacturer_EU                        ;Casio_PV-2000:18_Manufacturer_EU                        ;Casio_PV-2000:18_Manufacturer_EU                        ;Casio_PV-2000:18_Manufacturer_EU                                                                            
                              |                  |                 |                  |                 |                  |                 |                  |                 |                  |                 |                  |                 |                            |                           |                            |                           |                            |                           |                            |                           |                            |                           |                            |                           |                                                      |                                                     |
